CountryCode,Name,District,Population
COK,Avarua,Rarotonga,11900
CRI,"San José","San José",339131
DJI,Djibouti,Djibouti,383000
DMA,Roseau,"St George",16243
DOM,"Santo Domingo de Guzmán","Distrito Nacional",1609966
DOM,"Santiago de los Caballeros",Santiago,365463
DOM,"La Romana","La Romana",140204
DOM,"San Pedro de Macorís","San Pedro de Macorís",124735
DOM,"San Francisco de Macorís",Duarte,108485
DOM,"San Felipe de Puerto Plata","Puerto Plata",89423
ECU,Guayaquil,Guayas,2070040
ECU,Quito,Pichincha,1573458
ECU,Cuenca,Azuay,270353
ECU,Machala,"El Oro",210368
ECU,"Santo Domingo de los Colorados",Pichincha,202111
ECU,Portoviejo,Manabí,176413
ECU,Ambato,Tungurahua,169612
ECU,Manta,Manabí,164739
ECU,"Duran [Eloy Alfaro]",Guayas,152514
ECU,Ibarra,Imbabura,130643
ECU,Quevedo,"Los Ríos",129631
ECU,Milagro,Guayas,124177
ECU,Loja,Loja,123875
ECU,Ríobamba,Chimborazo,123163
ECU,Esmeraldas,Esmeraldas,123045
EGY,Cairo,Kairo,6789479
EGY,Alexandria,Aleksandria,3328196
EGY,Giza,Giza,2221868
EGY,"Shubra al-Khayma",al-Qalyubiya,870716
EGY,"Port Said","Port Said",469533
EGY,Suez,Suez,417610
EGY,"al-Mahallat al-Kubra",al-Gharbiya,395402
EGY,Tanta,al-Gharbiya,371010
EGY,al-Mansura,al-Daqahliya,369621
EGY,Luxor,Luxor,360503
EGY,Asyut,Asyut,343498
EGY,Bahtim,al-Qalyubiya,275807
EGY,Zagazig,al-Sharqiya,267351
EGY,al-Faiyum,al-Faiyum,260964
EGY,Ismailia,Ismailia,254477
EGY,"Kafr al-Dawwar",al-Buhayra,231978
EGY,Assuan,Assuan,219017
EGY,Damanhur,al-Buhayra,212203
EGY,al-Minya,al-Minya,201360
EGY,"Bani Suwayf","Bani Suwayf",172032
EGY,Qina,Qina,171275
EGY,Sawhaj,Sawhaj,170125
EGY,"Shibin al-Kawm",al-Minufiya,159909
EGY,"Bulaq al-Dakrur",Giza,148787
EGY,Banha,al-Qalyubiya,145792
EGY,"Warraq al-Arab",Giza,127108
EGY,"Kafr al-Shaykh","Kafr al-Shaykh",124819
EGY,Mallawi,al-Minya,119283
EGY,Bilbays,al-Sharqiya,113608
EGY,"Mit Ghamr",al-Daqahliya,101801
EGY,al-Arish,"Shamal Sina",100447
EGY,Talkha,al-Daqahliya,97700
EGY,Qalyub,al-Qalyubiya,97200
EGY,Jirja,Sawhaj,95400
EGY,Idfu,Qina,94200
EGY,al-Hawamidiya,Giza,91700
EGY,Disuq,"Kafr al-Shaykh",91300
SLV,"San Salvador","San Salvador",415346
SLV,"Santa Ana","Santa Ana",139389
SLV,Mejicanos,"San Salvador",138800
SLV,Soyapango,"San Salvador",129800
SLV,"San Miguel","San Miguel",127696
SLV,"Nueva San Salvador","La Libertad",98400
SLV,Apopa,"San Salvador",88800
ERI,Asmara,Maekel,431000
ESP,Madrid,Madrid,2879052
ESP,Barcelona,Katalonia,1503451
ESP,Valencia,Valencia,739412
ESP,Sevilla,Andalusia,701927
ESP,Zaragoza,Aragonia,603367
ESP,Málaga,Andalusia,530553
ESP,Bilbao,Baskimaa,357589
ESP,"Las Palmas de Gran Canaria","Canary Islands",354757
ESP,Murcia,Murcia,353504
ESP,"Palma de Mallorca",Balears,326993
ESP,Valladolid,"Castilla and León",319998
